ENSG00000251562,ENSG00000167996,ENSG00000087086,ENSG00000198804,target_type
4.579208,6.425074,3.999598,5.1344156,conventional dendritic cell
5.6961145,5.460102,6.4626822,5.177113,macrophage
4.2462683,6.3623123,4.921613,5.0035567,classical monocyte
6.136531,6.0445337,6.6629143,5.147206,macrophage
5.0831685,5.336102,6.9103475,5.2485757,macrophage
5.2871423,5.9220233,6.2675147,4.5845876,macrophage
4.2966576,6.2388678,3.860305,4.7160974,inflammatory macrophage
5.2868586,5.73322,6.9238477,5.338787,macrophage
4.684515,5.798862,3.8218956,5.0064483,conventional dendritic cell
4.584606,4.82563,5.407328,4.7676167,alternatively activated macrophage
4.963018,5.577514,5.5957108,4.910752,macrophage
4.509422,6.392596,4.3645544,4.655546,inflammatory macrophage
5.910041,5.454133,6.0063457,4.803157,macrophage
4.9162903,6.49331,4.110437,4.614681,classical monocyte
3.6343079,5.5701814,4.653219,5.1075454,classical monocyte
4.5195603,5.07938,5.3206,5.380036,non-classical monocyte
4.4579735,5.4449,5.0757747,4.920264,classical monocyte
6.377437,6.780233,4.836925,4.519608,myeloid dendritic cell
4.5458927,5.73424,4.416752,4.7128677,classical monocyte
5.9102025,5.4866633,6.3163047,4.9516263,macrophage
4.4153156,5.862362,5.3048773,4.3663335,alternatively activated macrophage
4.263106,5.9926906,2.8282578,4.663867,conventional dendritic cell
4.954612,4.9720335,5.3606553,4.954612,alternatively activated macrophage
3.8970351,5.7374697,4.381585,4.9199424,classical monocyte
3.680024,6.5109987,4.7194905,5.2438917,alternatively activated macrophage
4.8842072,6.2866807,5.939149,5.0462193,inflammatory macrophage
4.5235515,6.009874,3.7852998,4.5506573,conventional dendritic cell
4.0189886,4.858976,3.0332758,4.6600275,conventional dendritic cell
4.895317,4.860493,5.5135355,4.527115,classical monocyte
5.5993557,5.824854,6.681602,5.3745546,macrophage
4.612747,6.4028354,5.249889,3.8894722,inflammatory macrophage
4.773783,6.027714,4.957497,5.112641,classical monocyte
5.0290494,6.1923,4.66992,4.534715,classical monocyte
5.461479,5.757638,5.0241237,4.8636355,classical monocyte
4.206522,6.0067897,3.2155387,4.9130893,conventional dendritic cell
4.880109,5.248502,5.7286468,4.9839272,inflammatory macrophage
5.3294983,5.3294983,5.2438593,4.7836814,inflammatory macrophage
5.5002756,5.217575,5.756481,4.633539,macrophage
4.433625,6.076479,5.0486975,4.082025,inflammatory macrophage
3.9171433,5.9767513,3.1522827,4.285599,conventional dendritic cell
4.4273825,5.8220778,3.4798195,4.6053843,conventional dendritic cell
4.4705467,6.2040324,4.2196193,4.6709714,classical monocyte
4.5969033,5.870528,3.6234243,5.39269,conventional dendritic cell
4.5398865,5.6712217,4.756838,4.975,classical monocyte
3.7895265,5.4756055,5.3971677,5.0377674,alternatively activated macrophage
4.692228,6.069022,2.7497032,4.4992976,conventional dendritic cell
3.8546603,5.4117618,3.5598273,5.2249417,conventional dendritic cell
5.075343,5.203206,4.7017183,4.8090005,classical monocyte
4.477568,5.8279023,4.600692,4.42875,inflammatory macrophage
5.144021,5.7837977,4.0825415,4.7382026,conventional dendritic cell
4.2058754,7.0051737,4.2417107,5.075672,inflammatory macrophage
4.0906014,5.772148,3.446849,4.5240026,conventional dendritic cell
4.9519424,6.452968,4.3697953,3.99007,conventional dendritic cell
4.9993362,5.6652827,5.203751,4.8199234,macrophage
5.0922227,5.3529263,5.6779733,4.5686917,macrophage
4.599494,3.6053398,4.6435084,4.505189,inflammatory macrophage
6.1555247,5.8610353,6.438451,4.775575,macrophage
5.0397696,5.909519,5.559518,4.9924574,non-classical monocyte
5.8469315,5.9811273,5.066829,5.093332,macrophage
5.403901,5.7050076,6.8041515,5.220806,macrophage
5.213672,5.863716,4.658129,5.0229316,alternatively activated macrophage
4.846283,6.2719417,5.6293597,5.247138,macrophage
4.392592,6.3109245,4.601542,4.921543,alternatively activated macrophage
4.2317305,7.2977843,4.9996986,5.535883,alternatively activated macrophage
4.701401,5.8857875,5.1381145,4.993323,alternatively activated macrophage
4.755844,5.5417786,5.162423,4.755844,classical monocyte
3.3613927,5.527299,4.635125,5.3676476,classical monocyte
